
[2024-11-20T21:40:31.065309+00:00] honeypot.WARNING: SQLi Honeypot By {"Attacker-Account":14,"Target":1,"payload":"id=1","ip":"192.168.16.4","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","request_uri":"/user/profile.php?id=1","request_method":"GET","request_query":"id=1"} []
[2024-11-20T21:40:56.402168+00:00] honeypot.WARNING: SQLi Honeypot By {"Attacker-Account":14,"Target":0,"payload":"id=javascript","ip":"192.168.16.4","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","request_uri":"/user/profile.php?id=javascript","request_method":"GET","request_query":"id=javascript"} []
[2024-11-21T08:41:20.048369+00:00] honeypot.WARNING: SQLi Honeypot By {"Attacker-Account":6,"Target":2,"payload":"id=2","ip":"192.168.16.4","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","request_uri":"/user/profile.php?id=2","request_method":"GET","request_query":"id=2"} []
[2024-11-21T08:41:22.654665+00:00] honeypot.WARNING: SQLi Honeypot By {"Attacker-Account":6,"Target":5,"payload":"id=5","ip":"192.168.16.4","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","request_uri":"/user/profile.php?id=5","request_method":"GET","request_query":"id=5"} []
[2024-11-21T08:51:39.602666+00:00] honeypot.WARNING: Broken Access Control Attempt {"Attacker-Account":6,"Target":"5","ip":"192.168.16.4","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","request_uri":"/user/settings.php","request_method":"POST","request_query":""} []
[2024-11-21T08:52:02.866854+00:00] honeypot.WARNING: SQLi Honeypot By {"Attacker-Account":6,"Target":5,"payload":"id=5","ip":"192.168.16.4","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","request_uri":"/user/profile.php?id=5","request_method":"GET","request_query":"id=5"} []
[2024-11-21T08:53:11.084869+00:00] honeypot.WARNING: SQLi Honeypot By {"Attacker-Account":14,"Target":6,"payload":"id=6","ip":"192.168.16.4","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","request_uri":"/user/profile.php?id=6","request_method":"GET","request_query":"id=6"} []
[2024-11-21T08:53:22.181613+00:00] honeypot.WARNING: SQLi Honeypot By {"Attacker-Account":14,"Target":5,"payload":"id=5","ip":"192.168.16.4","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","request_uri":"/user/profile.php?id=5","request_method":"GET","request_query":"id=5"} []
[2024-11-21T08:53:31.828647+00:00] honeypot.WARNING: SQLi Honeypot By {"Attacker-Account":14,"Target":6,"payload":"id=6","ip":"192.168.16.4","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","request_uri":"/user/profile.php?id=6","request_method":"GET","request_query":"id=6"} []
[2024-11-21T08:54:34.531799+00:00] honeypot.WARNING: Broken Access Control Attempt {"Attacker-Account":14,"Target":"5","ip":"192.168.16.4","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","request_uri":"/user/settings.php","request_method":"POST","request_query":""} []
[2024-11-21T08:55:27.054261+00:00] honeypot.WARNING: SQLi Honeypot By {"Attacker-Account":14,"Target":5,"payload":"id=5","ip":"192.168.16.4","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","request_uri":"/user/profile.php?id=5","request_method":"GET","request_query":"id=5"} []
